1990,111,Tie Me Up! Tie Me Down!,Comedy,"Almodóvar, Pedro",68,No
1991,113,High Heels,Comedy,"Almodóvar, Pedro",68,No
1983,104,"Dead Zone, The",Horror,"Cronenberg, David",79,No
1979,122,Cuba,Action,"Lester, Richard",6,No
1978,94,Days of Heaven,Drama,"Malick, Terrence",14,No
1983,140,Octopussy,Action,"Glen, John",68,No
1984,101,Target Eagle,Action,"Loma, José Antonio de la",14,No
1989,99,"American Angels: Baptism of Blood, The",Drama,"Sebastian, Beverly",28,No
1985,104,Subway,Drama,"Besson, Luc",6,No
1990,149,Camille Claudel,Drama,"Nuytten, Bruno",32,No
1982,188,Fanny and Alexander,Drama,"Bergman, Ingmar",81,Yes
1982,117,Tragedy of a Ridiculous Man,Drama,"Bertolucci, Bernardo",17,No
1966,103,A Man & a Woman,Drama,"Lelouch, Claude",46,Yes
1986,112,A Man & a Woman: Twenty Years Later,Drama,"Lelouch, Claude",49,No
1966,103,Un Hombre y una Mujer,Drama,"Lelouch, Claude",6,Yes
1985,112,"Official Story, The",Drama,"Puenzo, Luiz",39,Yes
1976,150,"Lindbergh Kidnapping Case, The",Drama,"Kulik, Buzz",51,No
1929,84,Blackmail,Mystery,"Hitchcock, Alfred",2,No
1963,109,Donovan's Reef,Comedy,"Ford, John",62,No
1988,110,Tucker: The Man & His Dream,Drama,"Coppola, Francis Ford",68,No
1988,101,Scrooged,Comedy,"Donner, Richard",15,No
1981,116,Raiders of the Lost Ark,Action,"Spielberg, Steven",8,No
1987,101,"Running Man, The",Science Fiction,"Glaser, Paul Michael",31,No
1991,105,Predator 2,Action,"Hopkins, Stephen",79,No
1988,127,Colors,Drama,"Hopper, Dennis",23,No
1990,97,Zandalee,Drama,"Pillsbury, Sam",80,No
1988,108,Miles from Home,Drama,"Sinise, Gary",53,No
1980,,Happy Birthday to Me,Horror,"Thompson, J. Lee",88,No
1989,88,Final Notice,Mystery,"Stern, Steven Hilliard",88,No
1979,110,Quintet,Drama,"Altman, Robert",19,No
1960,90,"Devil's Eye, The",Drama,"Bergman, Ingmar",20,No
1957,91,Wild Strawberries,Drama,"Bergman, Ingmar",42,Yes
1956,96,"Seventh Seal, The",Drama,"Bergman, Ingmar",62,No
1992,90,Germicide,Drama,,36,No
1955,86,Dreams,Drama,"Bergman, Ingmar",14,No
1955,95,"Naked Night, The",Drama,"Bergman, Ingmar",38,No
1962,91,Through a Glass Darkly,Drama,"Bergman, Ingmar",64,Yes
1972,91,Cries & Whispers,Drama,"Bergman, Ingmar",18,Yes
1958,104,"Barbarian & the Geisha, The",Action,"Huston, John",52,No
1967,130,Casino Royale,Comedy,"Hughes, Ken",11,No
1962,,Dr. No,Action,"Young, Terence",7,No
1954,103,Elephant Walk,Drama,,11,No
1979,121,Ten,Comedy,"Edwards, Blake",60,No
1983,118,"Man Who Loved Women, The",Comedy,"Edwards, Blake",67,No
1966,190,Hawaii,Drama,"Hill, George Roy",8,No
1966,125,Torn Curtain,Mystery,"Hitchcock, Alfred",35,No
1986,107,Duet for One,Drama,"Konchalovsky, Andrei",82,No
1965,172,"Sound of Music, The",Music,"Wise, Robert",59,Yes
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy,,88,No
1984,140,Tartuffe,Comedy,"Depardieu, Gérard",67,No
1988,104,A New Life,Comedy,"Alda, Alan",53,No
1978,106,Magic,Mystery,"Attenborough, Richard",85,No
1992,286,Tommy,Music,"Russell, Ken",5,No
1978,108,"Big Fix, The",Mystery,"Kagan, Jeremy Paul",19,No
1992,95,Alan & Naomi,Drama,"Vanwagenen, Sterling",3,No
